"Item 1","Item 2","Item 3","Item 4","Item 5","Obs","Exp","z1","se.z1"
0,0,0,0,0,3,2.27741164440572,-1.89534389371071,0.795482794081335
0,0,0,0,0,3,2.27741164440572,-1.89534389371071,0.795482794081335
0,0,0,0,0,3,2.27741164440572,-1.89534389371071,0.795482794081335
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,0,1,6,5.86076934506527,-1.47931399032872,0.796094752885479
0,0,0,1,0,2,2.59585353700194,-1.45960553591978,0.796200224194243
0,0,0,1,0,2,2.59585353700194,-1.45960553591978,0.796200224194243
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,0,1,1,11,8.94220026959357,-1.04106133143369,0.800232676760027
0,0,1,0,0,1,0.696143004079836,-1.33148745870857,0.797064287206795
0,0,1,0,1,1,2.61363789487966,-0.911440009040044,0.802227365362895
0,0,1,1,0,3,1.17861290711713,-0.891416570932008,0.802569167808837
0,0,1,1,0,3,1.17861290711713,-0.891416570932008,0.802569167808837
0,0,1,1,0,3,1.17861290711713,-0.891416570932008,0.802569167808837
0,0,1,1,1,4,5.95472586308688,-0.463242102300636,0.812152665913422
0,0,1,1,1,4,5.95472586308688,-0.463242102300636,0.812152665913422
0,0,1,1,1,4,5.95472586308688,-0.463242102300636,0.812152665913422
0,0,1,1,1,4,5.95472586308688,-0.463242102300636,0.812152665913422
0,1,0,0,0,1,1.83982152366157,-1.43779860811737,0.796325348805706
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,0,1,8,6.43128823905017,-1.01902419919775,0.800545539633835
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,0,1,1,16,13.5771669746207,-0.573349153555766,0.809263290046394
0,1,1,0,1,3,4.37028007687696,-0.440533032721209,0.812785886637923
0,1,1,0,1,3,4.37028007687696,-0.440533032721209,0.812785886637923
0,1,1,0,1,3,4.37028007687696,-0.440533032721209,0.812785886637923
0,1,1,1,0,2,2.00039226231763,-0.419972503980582,0.813370219033495
0,1,1,1,0,2,2.00039226231763,-0.419972503980582,0.813370219033495
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
0,1,1,1,1,15,13.9199287636809,0.0226282806418315,0.828444429742818
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,0,10,9.47993436032511,-1.37282610012577,0.796751261883156
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,0,1,29,34.6164742131167,-0.953303708422336,0.80154214477155
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,0,14,15.5895277205989,-0.933315215417492,0.801864375244044
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
1,0,0,1,1,81,76.5615376553225,-0.506125254380244,0.810991737118606
